Date,State,Unemployment_Rate,Labour_Participation_Rate,Employment_Rate,Estimated_Employed,Estimated_Unemployed,Region
2019-03-02,Goa,11.03,39.59,35.23,759007,94099,West
2019-03-02,Gujarat,4.49,54.54,52.09,1181962,55544,West
2019-03-02,Haryana,19.35,53.16,42.88,1432205,343564,North
2019-03-02,Himachal Pradesh,8.91,47.81,43.55,1182894,115710,North
2019-03-02,Jharkhand,10.46,41.32,37.0,1387732,162162,East
2019-03-02,Karnataka,3.54,53.99,52.07,2495780,91681,South
2019-03-02,Kerala,13.29,53.55,46.44,1005707,154090,South
2019-03-02,Madhya Pradesh,6.48,54.38,50.86,2206512,152853,Central
2019-03-02,Maharashtra,7.64,43.01,39.72,886907,73382,West
2019-03-02,Manipur,13.74,40.88,35.26,1059870,168862,Northeast
2019-03-02,Meghalaya,7.59,53.91,49.83,1809715,148535,Northeast
2019-03-02,Mizoram,3.89,48.46,46.57,2307597,93471,Northeast
2019-03-02,Nagaland,21.72,40.38,31.61,895330,248466,Northeast
2019-03-02,Odisha,7.09,49.85,46.32,1695741,129328,East
2019-03-02,Punjab,9.85,44.11,39.77,724221,79117,North
2019-03-02,Rajasthan,27.11,52.74,38.44,1771982,659121,North
2019-03-02,Sikkim,4.21,46.69,44.73,1233032,54205,Northeast
2019-03-02,Tamil Nadu,5.76,49.93,47.06,1920505,117311,South
2019-03-02,Telangana,8.11,53.13,48.82,986683,87064,South
2019-03-02,Tripura,9.78,47.83,43.15,285554,30960,Northeast
2019-03-02,Uttar Pradesh,5.71,45.92,43.29,1273641,77136,North
2019-03-02,Uttarakhand,6.15,38.52,36.15,241506,15823,North
2019-03-02,West Bengal,5.81,51.98,48.96,1038457,64053,East
2019-03-02,Delhi,15.85,51.09,42.99,632487,119144,North
2019-03-02,Jammu & Kashmir,13.44,48.59,42.06,371835,57723,North
2019-04-01,Andhra Pradesh,7.84,47.19,43.49,1465038,124552,South
2019-04-01,Arunachal Pradesh,4.98,50.34,47.84,2339895,122575,Northeast
2019-04-01,Assam,7.78,51.52,47.51,816586,68879,Northeast
2019-04-01,Bihar,11.75,45.46,40.12,342257,45561,East
2019-04-01,Chhattisgarh,7.5,44.95,41.58,532143,43165,Central
2019-04-01,Goa,11.19,40.66,36.11,587165,73994,West
2019-04-01,Gujarat,6.41,49.22,46.07,810650,55534,West
2019-04-01,Haryana,20.12,54.23,43.32,1655035,416945,North
2019-04-01,Himachal Pradesh,10.4,45.13,40.44,653033,75772,North
2019-04-01,Jharkhand,9.93,44.05,39.68,1551587,170963,East
2019-04-01,Karnataka,4.55,46.06,43.96,413366,19723,South
2019-04-01,Kerala,13.32,46.36,40.18,1057069,162420,South
2019-04-01,Madhya Pradesh,5.7,44.77,42.22,1381277,83444,Central
2019-04-01,Maharashtra,6.5,48.8,45.62,321135,22327,West
2019-04-01,Manipur,15.05,46.55,39.55,1721917,305109,Northeast
2019-04-01,Meghalaya,5.55,49.2,46.47,573035,33674,Northeast
2019-04-01,Mizoram,4.56,38.45,36.7,1150845,54964,Northeast
2019-04-01,Nagaland,20.92,53.98,42.69,1318998,348906,Northeast
2019-04-01,Odisha,7.87,45.79,42.19,1246759,106470,East
2019-04-01,Punjab,8.21,54.0,49.57,1109149,99189,North
2019-04-01,Rajasthan,26.72,39.21,28.73,556071,202799,North
2019-04-01,Sikkim,3.1,52.36,50.74,306831,9818,Northeast
2019-04-01,Tamil Nadu,4.63,40.01,38.16,1387141,67305,South
2019-04-01,Telangana,7.68,48.69,44.95,1999794,166330,South
2019-04-01,Tripura,10.85,42.79,38.15,495390,60287,Northeast
2019-04-01,Uttar Pradesh,6.2,50.76,47.61,1966732,130058,North
2019-04-01,Uttarakhand,5.38,44.32,41.94,1674969,95280,North
2019-04-01,West Bengal,6.99,43.79,40.73,1909645,143580,East
2019-04-01,Delhi,15.42,50.76,42.93,1672484,305029,North
2019-04-01,Jammu & Kashmir,14.98,39.75,33.8,1541731,271602,North
2019-05-01,Andhra Pradesh,8.29,43.44,39.84,1804589,163217,South
2019-05-01,Arunachal Pradesh,4.97,44.62,42.4,232680,12160,Northeast
2019-05-01,Assam,9.11,54.16,49.23,1516413,151979,Northeast
2019-05-01,Bihar,10.95,48.74,43.41,1092967,134339,East
2019-05-01,Chhattisgarh,5.75,49.43,46.59,1810449,110353,Central
2019-05-01,Goa,8.98,51.46,46.84,1898423,187266,West
2019-05-01,Gujarat,4.44,38.98,37.25,1107331,51452,West
2019-05-01,Haryana,18.53,45.51,37.07,1666297,379047,North
2019-05-01,Himachal Pradesh,7.49,40.43,37.4,1468730,118907,North
2019-05-01,Jharkhand,8.29,48.51,44.49,424872,38420,East
2019-05-01,Karnataka,3.85,39.24,37.73,1583958,63355,South
2019-05-01,Kerala,11.74,50.01,44.13,382223,50863,South
2019-05-01,Madhya Pradesh,4.19,51.82,49.65,2364432,103441,Central
2019-05-01,Maharashtra,5.82,54.76,51.57,2006280,124072,West
2019-05-01,Manipur,12.78,51.21,44.67,1345799,197110,Northeast
2019-05-01,Meghalaya,5.98,45.21,42.51,1946289,123774,Northeast
2019-05-01,Mizoram,3.83,38.19,36.73,958233,38211,Northeast
2019-05-01,Nagaland,20.05,38.96,31.15,322272,80809,Northeast
2019-05-01,Odisha,6.31,50.68,47.49,1484000,99916,East
2019-05-01,Punjab,7.99,54.36,50.01,1093782,94959,North
2019-05-01,Rajasthan,26.5,41.8,30.72,1485301,535574,North
2019-05-01,Sikkim,2.73,38.21,37.16,1807823,50720,Northeast
2019-05-01,Tamil Nadu,4.73,39.25,37.4,1119079,55551,South
2019-05-01,Telangana,6.46,54.48,50.96,1454334,100439,South
2019-05-01,Tripura,10.81,45.73,40.78,1355653,164323,Northeast
2019-05-01,Uttar Pradesh,5.92,47.93,45.1,2054260,129204,North
2019-05-01,Uttarakhand,6.6,42.72,39.9,537210,37972,North
2019-05-01,West Bengal,5.7,45.88,43.27,904296,54694,East
2019-05-01,Delhi,14.44,54.56,46.68,2305236,389140,North
2019-05-01,Jammu & Kashmir,13.67,49.87,43.05,1253847,198546,North
2019-05-31,Andhra Pradesh,8.01,49.64,45.66,562479,48979,South
2019-05-31,Arunachal Pradesh,4.49,53.49,51.09,2146296,100863,Northeast
2019-05-31,Assam,7.79,53.86,49.66,2183645,184574,Northeast
2019-05-31,Bihar,12.52,38.77,33.92,209826,30016,East
2019-05-31,Chhattisgarh,7.49,54.78,50.68,596422,48313,Central
2019-05-31,Goa,9.57,48.1,43.49,962978,101964,West
2019-05-31,Gujarat,4.36,45.05,43.09,745572,33975,West
2019-05-31,Haryana,20.24,38.96,31.07,1364498,346262,North
2019-05-31,Himachal Pradesh,8.15,51.07,46.91,2228818,197877,North
2019-05-31,Jharkhand,8.59,52.44,47.94,773309,72647,East
2019-05-31,Karnataka,2.8,54.22,52.7,1701138,48930,South
2019-05-31,Kerala,12.04,41.89,36.85,1297934,177596,South
2019-05-31,Madhya Pradesh,4.12,39.93,38.28,1348402,57981,Central
2019-05-31,Maharashtra,7.97,46.85,43.11,1713835,148465,West
2019-05-31,Manipur,14.29,47.38,40.61,1228131,204817,Northeast
2019-05-31,Meghalaya,6.2,52.9,49.62,1149059,76003,Northeast
2019-05-31,Mizoram,4.37,49.97,47.79,696904,31818,Northeast
2019-05-31,Nagaland,21.94,40.32,31.47,177950,50030,Northeast
2019-05-31,Odisha,6.9,44.67,41.59,1026644,76049,East
2019-05-31,Punjab,7.24,53.37,49.51,1023343,79908,North
2019-05-31,Rajasthan,27.15,44.74,32.59,1075374,400812,North
2019-05-31,Sikkim,3.11,52.66,51.02,2435239,78148,Northeast
2019-05-31,Tamil Nadu,3.19,45.81,44.35,2177422,71685,South
2019-05-31,Telangana,6.41,46.37,43.4,859130,58798,South
2019-05-31,Tripura,8.61,39.29,35.91,387794,36518,Northeast
2019-05-31,Uttar Pradesh,5.69,40.18,37.89,448480,27036,North
2019-05-31,Uttarakhand,5.14,41.09,38.98,801203,43442,North
2019-05-31,West Bengal,5.6,53.25,50.26,1323382,78477,East
2019-05-31,Delhi,14.26,41.27,35.38,241990,40251,North
2019-05-31,Jammu & Kashmir,13.95,40.87,35.17,616742,100010,North
2019-06-30,Andhra Pradesh,6.41,41.51,38.85,830982,56955,South
2019-06-30,Arunachal Pradesh,3.37,46.56,44.99,1622625,56620,Northeast
2019-06-30,Assam,7.54,52.85,48.87,2269289,185063,Northeast
2019-06-30,Bihar,10.47,39.04,34.95,610218,71370,East
2019-06-30,Chhattisgarh,6.29,41.14,38.55,555901,37321,Central
2019-06-30,Goa,9.81,44.3,39.95,1070912,116430,West
2019-06-30,Gujarat,2.49,45.86,44.72,1727891,44084,West
2019-06-30,Haryana,19.59,38.62,31.06,508063,123805,North
2019-06-30,Himachal Pradesh,7.86,46.7,43.03,1245433,106259,North
2019-06-30,Jharkhand,8.05,39.82,36.62,920306,80559,East
2019-06-30,Karnataka,1.61,42.58,41.89,920640,15110,South
2019-06-30,Kerala,11.56,38.34,33.91,660985,86420,South
2019-06-30,Madhya Pradesh,4.08,40.04,38.4,1730893,73675,Central
2019-06-30,Maharashtra,5.33,48.09,45.53,1618869,91229,West
2019-06-30,Manipur,12.59,39.48,34.51,1006532,145022,Northeast
2019-06-30,Meghalaya,6.58,47.98,44.82,1727482,121752,Northeast
2019-06-30,Mizoram,2.27,42.82,41.85,893067,20745,Northeast
2019-06-30,Nagaland,19.95,48.98,39.21,1203162,299808,Northeast
2019-06-30,Odisha,4.18,39.73,38.07,452210,19732,East
2019-06-30,Punjab,8.35,42.18,38.66,472824,43080,North
2019-06-30,Rajasthan,24.73,40.95,30.82,1397945,459199,North
2019-06-30,Sikkim,1.61,39.36,38.73,1107814,18114,Northeast
2019-06-30,Tamil Nadu,4.02,39.9,38.3,877248,36707,South
2019-06-30,Telangana,5.66,54.48,51.4,2258807,135514,South
2019-06-30,Tripura,8.44,40.91,37.45,1314196,121120,Northeast
2019-06-30,Uttar Pradesh,5.0,53.8,51.11,1535989,80914,North
2019-06-30,Uttarakhand,2.76,51.08,49.67,666410,18946,North
2019-06-30,West Bengal,6.03,43.5,40.88,986967,63385,East
2019-06-30,Delhi,13.0,39.95,34.76,1128907,168656,North
2019-06-30,Jammu & Kashmir,12.84,42.91,37.4,1165166,171623,North
2019-07-30,Andhra Pradesh,5.7,47.05,44.37,325347,19655,South
2019-07-30,Arunachal Pradesh,2.48,43.72,42.64,471086,11985,Northeast
2019-07-30,Assam,8.16,42.33,38.88,1386648,123122,Northeast
2019-07-30,Bihar,9.09,50.92,46.3,1472375,147194,East
2019-07-30,Chhattisgarh,3.07,43.93,42.58,1994013,63212,Central
2019-07-30,Goa,7.81,52.12,48.05,2326812,197187,West
2019-07-30,Gujarat,3.25,53.95,52.2,686716,23045,West
2019-07-30,Haryana,17.27,39.13,32.37,1241551,259117,North
2019-07-30,Himachal Pradesh,7.58,40.38,37.31,1521923,124898,North
2019-07-30,Jharkhand,7.25,41.43,38.42,475078,37155,East
2019-07-30,Karnataka,2.47,49.31,48.09,1372464,34694,South
2019-07-30,Kerala,10.31,44.1,39.55,1759035,202274,South
2019-07-30,Madhya Pradesh,4.81,45.47,43.28,950492,48039,Central
2019-07-30,Maharashtra,5.12,45.87,43.52,807737,43619,West
2019-07-30,Manipur,11.86,41.95,36.97,1681456,226357,Northeast
2019-07-30,Meghalaya,5.99,44.53,41.86,1233146,78588,Northeast
2019-07-30,Mizoram,2.54,39.99,38.97,1843090,48005,Northeast
2019-07-30,Nagaland,19.97,48.67,38.95,781816,195047,Northeast
2019-07-30,Odisha,4.82,48.54,46.2,1340099,67875,East
2019-07-30,Punjab,6.82,53.2,49.57,2006909,146837,North
2019-07-30,Rajasthan,24.08,42.22,32.06,1233423,391266,North
2019-07-30,Sikkim,0.87,38.57,38.23,1171695,10284,Northeast
2019-07-30,Tamil Nadu,3.43,43.82,42.31,1775230,63113,South
2019-07-30,Telangana,5.22,39.88,37.8,1628823,89651,South
2019-07-30,Tripura,7.93,51.55,47.46,557521,48046,Northeast
2019-07-30,Uttar Pradesh,2.87,41.9,40.7,1526158,45046,North
2019-07-30,Uttarakhand,4.05,49.8,47.78,1405885,59275,North
2019-07-30,West Bengal,5.93,42.28,39.77,817554,51578,East
2019-07-30,Delhi,12.13,45.85,40.29,1919082,264845,North
2019-07-30,Jammu & Kashmir,13.25,40.61,35.23,1105461,168799,North
2019-08-29,Andhra Pradesh,7.16,38.31,35.57,1573636,121317,South
2019-08-29,Arunachal Pradesh,3.0,53.85,52.23,1589358,49228,Northeast
2019-08-29,Assam,7.19,50.02,46.43,550839,42646,Northeast
2019-08-29,Bihar,9.18,47.8,43.41,1402208,141735,East
2019-08-29,Chhattisgarh,5.78,53.88,50.77,2368550,145180,Central
2019-08-29,Goa,7.49,45.66,42.24,426474,34539,West
2019-08-29,Gujarat,2.45,48.05,46.88,1076057,26975,West
2019-08-29,Haryana,18.08,38.93,31.89,640548,141335,North
2019-08-29,Himachal Pradesh,5.29,47.14,44.64,2071082,115709,North
2019-08-29,Jharkhand,5.18,43.89,41.62,857821,46834,East
2019-08-29,Karnataka,1.33,41.82,41.26,1046372,14129,South
2019-08-29,Kerala,11.44,40.39,35.77,462835,59765,South
2019-08-29,Madhya Pradesh,1.14,53.55,52.94,1128031,13047,Central
2019-08-29,Maharashtra,4.86,47.87,45.54,1523556,77785,West
2019-08-29,Manipur,11.09,39.45,35.08,1748939,218058,Northeast
2019-08-29,Meghalaya,3.22,46.54,45.04,1431951,47577,Northeast
2019-08-29,Mizoram,1.81,41.57,40.82,1853514,34207,Northeast
2019-08-29,Nagaland,18.78,41.49,33.7,457614,105822,Northeast
2019-08-29,Odisha,3.97,47.6,45.71,363711,15055,East
2019-08-29,Punjab,6.17,51.18,48.03,1219811,80159,North
2019-08-29,Rajasthan,21.78,44.81,35.05,1058021,294604,North
2019-08-29,Sikkim,1.87,40.64,39.88,525854,10043,Northeast
2019-08-29,Tamil Nadu,1.37,48.95,48.27,1129298,15743,South
2019-08-29,Telangana,3.78,38.43,36.98,444745,17465,South
2019-08-29,Tripura,8.35,38.46,35.25,528343,48132,Northeast
2019-08-29,Uttar Pradesh,4.12,41.93,40.2,1416509,60840,North
2019-08-29,Uttarakhand,2.38,49.1,47.93,753335,18377,North
2019-08-29,West Bengal,4.69,39.69,37.83,603082,29692,East
2019-08-29,Delhi,13.57,52.11,45.04,1030258,161752,North
2019-08-29,Jammu & Kashmir,11.86,49.36,43.51,618834,83240,North
2019-09-28,Andhra Pradesh,5.47,38.22,36.13,319661,18513,South
2019-09-28,Arunachal Pradesh,2.45,41.53,40.52,250950,6308,Northeast
2019-09-28,Assam,6.86,45.16,42.07,1900110,139967,Northeast
2019-09-28,Bihar,7.8,51.9,47.85,975249,82494,East
2019-09-28,Chhattisgarh,3.74,48.04,46.24,788989,30625,Central
2019-09-28,Goa,6.57,48.61,45.42,1063785,74844,West
2019-09-28,Gujarat,0.53,43.01,42.78,2039580,10959,West
2019-09-28,Haryana,18.36,50.98,41.62,470547,105801,North
2019-09-28,Himachal Pradesh,5.87,53.21,50.08,2053124,128031,North
2019-09-28,Jharkhand,7.18,45.23,41.98,252346,19527,East
2019-09-28,Karnataka,1.65,48.77,47.97,796477,13331,South
2019-09-28,Kerala,8.53,40.37,36.92,1571958,146627,South
2019-09-28,Madhya Pradesh,3.11,40.92,39.64,684011,21990,Central
2019-09-28,Maharashtra,4.98,38.31,36.41,1679871,88006,West
2019-09-28,Manipur,11.26,42.66,37.86,1133362,143761,Northeast
2019-09-28,Meghalaya,3.12,49.07,47.54,2012951,64768,Northeast
2019-09-28,Mizoram,1.8,48.21,47.34,1653382,30389,Northeast
2019-09-28,Nagaland,19.39,40.98,33.04,1524591,366636,Northeast
2019-09-28,Odisha,2.33,46.82,45.73,325312,7751,East
2019-09-28,Punjab,5.38,40.83,38.63,1476180,83873,North
2019-09-28,Rajasthan,23.85,42.17,32.11,723139,226478,North
2019-09-28,Sikkim,0.5,42.91,42.69,896783,4506,Northeast
2019-09-28,Tamil Nadu,1.52,47.63,46.91,1239343,19119,South
2019-09-28,Telangana,5.04,49.28,46.8,2206828,117198,South
2019-09-28,Tripura,6.71,38.53,35.94,603917,43460,Northeast
2019-09-28,Uttar Pradesh,3.46,48.12,46.45,339752,12177,North
2019-09-28,Uttarakhand,4.65,43.68,41.65,1653202,80587,North
2019-09-28,West Bengal,4.02,39.81,38.21,320249,13424,East
2019-09-28,Delhi,12.77,49.7,43.35,1065107,155954,North
2019-09-28,Jammu & Kashmir,12.72,42.19,36.82,1541431,224576,North
2019-10-28,Andhra Pradesh,5.71,42.63,40.19,1268532,76775,South
2019-10-28,Arunachal Pradesh,3.68,44.14,42.51,387767,14810,Northeast
2019-10-28,Assam,6.74,41.15,38.37,1127621,81512,Northeast
2019-10-28,Bihar,9.5,52.84,47.82,1814835,190452,East
2019-10-28,Chhattisgarh,4.95,49.77,47.31,2044261,106433,Central
2019-10-28,Goa,8.77,42.24,38.54,1041547,100069,West
2019-10-28,Gujarat,2.74,41.07,39.94,1220546,34445,West
2019-10-28,Haryana,17.37,53.56,44.26,288916,60722,North
2019-10-28,Himachal Pradesh,5.24,53.71,50.9,2478814,136965,North
2019-10-28,Jharkhand,7.34,54.05,50.08,1319173,104550,East
2019-10-28,Karnataka,1.62,43.42,42.72,1807092,29824,South
2019-10-28,Kerala,10.12,38.63,34.72,1105149,124498,South
2019-10-28,Madhya Pradesh,2.95,39.31,38.15,1386005,42179,Central
2019-10-28,Maharashtra,4.65,43.78,41.74,1570052,76630,West
2019-10-28,Manipur,11.15,47.17,41.91,1700857,213476,Northeast
2019-10-28,Meghalaya,3.75,43.42,41.79,1386001,53987,Northeast
2019-10-28,Mizoram,2.01,41.96,41.11,250720,5154,Northeast
2019-10-28,Nagaland,19.51,52.79,42.49,253121,61364,Northeast
2019-10-28,Odisha,4.07,53.96,51.77,2119716,89858,East
2019-10-28,Punjab,7.45,54.96,50.87,1057143,85138,North
2019-10-28,Rajasthan,23.49,46.16,35.32,1173848,360335,North
2019-10-28,Sikkim,2.13,52.85,51.73,2549329,55440,Northeast
2019-10-28,Tamil Nadu,2.14,45.16,44.19,1687841,36990,South
2019-10-28,Telangana,5.56,42.06,39.72,396053,23333,South
2019-10-28,Tripura,6.53,43.04,40.23,624044,43564,Northeast
2019-10-28,Uttar Pradesh,2.37,38.72,37.8,219400,5316,North
2019-10-28,Uttarakhand,2.77,44.53,43.3,1540740,43946,North
2019-10-28,West Bengal,4.49,41.71,39.84,1902205,89389,East
2019-10-28,Delhi,13.79,54.06,46.61,1213306,194052,North
2019-10-28,Jammu & Kashmir,11.33,48.43,42.94,537474,68675,North
2019-11-27,Andhra Pradesh,5.88,48.33,45.49,1276895,79817,South
2019-11-27,Arunachal Pradesh,3.84,41.92,40.31,521762,20858,Northeast
2019-11-27,Assam,6.85,51.25,47.74,990902,72885,Northeast
2019-11-27,Bihar,9.11,38.98,35.43,1722416,172548,East
2019-11-27,Chhattisgarh,6.19,49.83,46.75,557502,36763,Central
2019-11-27,Goa,7.99,51.87,47.72,720609,62605,West
2019-11-27,Gujarat,3.11,48.08,46.58,1448929,46544,West
2019-11-27,Haryana,16.54,39.56,33.01,1468645,290999,North
2019-11-27,Himachal Pradesh,6.16,53.11,49.84,2392407,157040,North
2019-11-27,Jharkhand,6.74,52.66,49.11,2034425,147026,East
2019-11-27,Karnataka,2.68,39.48,38.42,898321,24707,South
2019-11-27,Kerala,12.26,44.34,38.9,649215,90699,South
2019-11-27,Madhya Pradesh,3.82,39.38,37.87,564607,22445,Central
2019-11-27,Maharashtra,6.89,49.62,46.2,389268,28785,West
2019-11-27,Manipur,11.84,46.17,40.7,1288649,173015,Northeast
2019-11-27,Meghalaya,5.6,52.02,49.11,1014110,60167,Northeast
2019-11-27,Mizoram,2.9,42.54,41.31,1839778,54859,Northeast
2019-11-27,Nagaland,20.83,51.56,40.82,1413555,371853,Northeast
2019-11-27,Odisha,5.21,49.86,47.26,1682800,92425,East
2019-11-27,Punjab,7.56,48.52,44.85,1743442,142498,North
2019-11-27,Rajasthan,24.32,43.7,33.07,1271860,408634,North
2019-11-27,Sikkim,1.67,40.73,40.05,1674587,28395,Northeast
2019-11-27,Tamil Nadu,3.07,38.11,36.94,661798,20981,South
2019-11-27,Telangana,5.97,48.49,45.59,2240986,142351,South
2019-11-27,Tripura,7.06,48.78,45.33,1328236,100929,Northeast
2019-11-27,Uttar Pradesh,4.25,51.26,49.08,481682,21364,North
2019-11-27,Uttarakhand,3.55,54.37,52.44,1068969,39339,North
2019-11-27,West Bengal,6.11,48.75,45.77,2148722,139878,East
2019-11-27,Delhi,13.19,43.12,37.43,1379889,209714,North
2019-11-27,Jammu & Kashmir,12.21,39.14,34.37,1072176,149054,North
2019-12-27,Andhra Pradesh,14.57,52.82,45.12,2202090,375706,South
2019-12-27,Arunachal Pradesh,12.76,54.47,47.52,1840649,269245,Northeast
2019-12-27,Assam,16.85,38.42,31.94,191519,38817,Northeast
2019-12-27,Bihar,18.34,43.5,35.52,958755,215300,East
2019-12-27,Chhattisgarh,14.84,45.58,38.81,671997,117144,Central
2019-12-27,Goa,18.52,54.95,44.77,1082518,246098,West
2019-12-27,Gujarat,11.17,51.51,45.76,1657062,208472,West
2019-12-27,Haryana,26.82,41.75,30.56,266058,97491,North
2019-12-27,Himachal Pradesh,16.76,42.65,35.5,1696486,341489,North
2019-12-27,Jharkhand,17.31,40.57,33.55,820388,171704,East
2019-12-27,Karnataka,11.27,48.85,43.35,992365,126009,South
2019-12-27,Kerala,20.37,42.66,33.97,1674176,428147,South
2019-12-27,Madhya Pradesh,13.78,41.91,36.14,527204,84239,Central
2019-12-27,Maharashtra,14.49,38.53,32.95,1130837,191680,West
2019-12-27,Manipur,21.82,46.04,36.0,1748376,487948,Northeast
2019-12-27,Meghalaya,13.58,41.15,35.56,1567920,246475,Northeast
2019-12-27,Mizoram,12.13,52.36,46.01,1805810,249165,Northeast
2019-12-27,Nagaland,29.14,48.65,34.47,375951,154580,Northeast
2019-12-27,Odisha,14.76,46.19,39.37,404675,70062,East
2019-12-27,Punjab,16.75,40.13,33.41,1197616,240995,North
2019-12-27,Rajasthan,32.57,46.36,31.26,246603,119126,North
2019-12-27,Sikkim,10.51,47.89,42.86,733139,86065,Northeast
2019-12-27,Tamil Nadu,11.75,45.74,40.36,222926,29684,South
2019-12-27,Telangana,14.96,39.23,33.36,756109,132964,South
2019-12-27,Tripura,19.34,42.96,34.65,1256957,301318,Northeast
2019-12-27,Uttar Pradesh,12.46,52.62,46.06,1846867,262925,North
2019-12-27,Uttarakhand,12.54,39.78,34.8,552965,79280,North
2019-12-27,West Bengal,13.6,54.77,47.32,540064,85024,East
2019-12-27,Delhi,24.68,49.94,37.62,1135409,372046,North
2019-12-27,Jammu & Kashmir,21.24,38.17,30.06,591891,159628,North
2020-01-26,Andhra Pradesh,17.23,38.56,31.92,272470,56716,South
2020-01-26,Arunachal Pradesh,14.58,44.75,38.22,419388,71592,Northeast
2020-01-26,Assam,20.47,51.61,41.05,574947,147941,Northeast
